,ABSCESS - INCISION AND DRAINAGE,CORONARY ANGIOPLASTY WITH INTRALUMINAL STENT IMPLANTATION,PERCUTANEOUS TRANSLUMINAL MULTIPLE VESSELS ANGIOPLASTY WITH STENT IMPLANTATION,APPENDECTOMY, PERIDURAL OR SUBARACHNOID NEUROLITIC BLOCKADE, CARDIAC CATHETERIZATION,CARDIAC CATHETERIZATION AND LEFT OR RIGHT HEART CATHETERIZATION WITH CINEANGIOCORONARYGRAPHY AND VENTRICULOGRAPHY,SINGLE FETUS CESAREAN,CESAREAN SECTION - MULTIPLE FETUS,ENDOSCOPIC PLACEMENT OF DOUBLE J URETERAL STENT,PLACEMENT OF DOUBLE J URETEROSCOPIC STENT,CURETTAGE AFTER ABORTION,SEMIOTIC CURETTAGE WITH OR WITHOUT DILATION,DEBRIDEMENT,ARTERIOVENOUS FISTULA OF THE LIMBS,FEMUR FRACTURE - SURGICAL TREATMENT,TIBIAL FRACTURE,WRIST/CARPAL FRACTURE/DISLOCATION - SURGICAL TREATMENT,ANKLE FRACTURE/DISLOCATION - SURGICAL TREATMENT,HERNIORRAFIA INGUINAL,INGUINAL HERNIORRHAPHY,ABDOMINAL HYSTERECTOMY,BREAST PROSTHESIS IMPLANTATION,LAPAROTOMIA C/BIOPSIA ,EXPLORATORY LAPAROTOMY,EYELIDS,NORMAL BIRTH,REMOVAL OF SYNTHESIS MATERIAL,UNILATERAL FLEXIBLE URETERORENOLITHOTRIPSY,VIDEO CHOLECYSTECTOMY
item_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
item_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
item_2,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
item_3,3.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,0.0,3.0,3.0,3.0,3.0
item_4,3.0,2.0,3.0,3.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0
item_5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
item_6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
item_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
item_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
item_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
