, CARDIAC CATHETERIZATION,SINGLE FETUS CESAREAN,NORMAL BIRTH
item_0,1.0,0.0,0.0
item_1,2.0,3.0,3.0
item_2,0.0,3.0,3.0
item_3,0.0,1.0,0.0
item_4,0.0,1.0,1.0
item_5,1.0,7.0,0.0
item_6,0.0,1.0,2.0
item_7,0.0,0.0,84.0
item_8,0.0,2.0,0.0
item_9,2.0,0.0,0.0
item_10,0.0,1.0,0.0
item_11,0.0,1.0,0.0
item_12,0.0,2.0,0.0
item_13,0.0,2.0,0.0
item_14,0.0,1.0,1.0
item_15,0.0,1.0,0.0
item_16,2.0,0.0,0.0
item_17,1.0,0.0,0.0
item_18,0.0,1.0,0.0
item_19,1.0,0.0,0.0
item_20,1.0,0.0,0.0
item_21,1.0,0.0,0.0
item_22,2.0,0.0,0.0
item_23,2.0,0.0,0.0
item_24,0.0,1.0,0.0
item_25,0.0,2.0,2.0
item_26,0.0,2.0,2.0
item_27,0.0,2.0,0.0
item_28,1.0,3.0,0.0
item_29,0.0,0.0,2.0
item_30,1.0,1.0,0.0
item_31,0.0,1.0,0.0
freq_PROCEDURE,18.12366737739872,60.07462686567165,21.80170575692964
