, CARDIAC CATHETERIZATION,SINGLE FETUS CESAREAN,NORMAL BIRTH
item_0,1.0,0.0,0.0
item_1,2.0,3.0,3.0
item_2,0.0,3.0,3.0
item_3,0.0,1.0,0.0
item_4,0.0,1.0,1.0
item_5,0.0,1.0,0.0
item_6,1.0,0.0,0.0
item_7,1.0,7.0,0.0
item_8,140.0,0.0,0.0
item_9,0.0,1.0,2.0
item_10,4.0,0.0,0.0
item_11,0.0,0.0,84.0
item_12,0.0,1.0,0.0
item_13,0.0,2.0,0.0
item_14,2.0,0.0,0.0
item_15,0.0,1.0,0.0
item_16,0.0,1.0,0.0
item_17,0.0,2.0,0.0
item_18,0.0,2.0,0.0
item_19,0.0,1.0,1.0
item_20,0.0,1.0,0.0
item_21,2.0,0.0,0.0
item_22,1.0,0.0,0.0
item_23,1.0,0.0,0.0
item_24,0.0,1.0,0.0
item_25,1.0,0.0,0.0
item_26,1.0,0.0,0.0
item_27,1.0,0.0,0.0
item_28,1.0,0.0,0.0
item_29,2.0,0.0,0.0
item_30,2.0,0.0,0.0
item_31,1.0,0.0,0.0
item_32,0.0,1.0,0.0
item_33,0.0,1.0,0.0
item_34,0.0,2.0,2.0
item_35,0.0,2.0,2.0
item_36,0.0,2.0,0.0
item_37,1.0,3.0,0.0
item_38,0.0,0.0,2.0
item_39,1.0,1.0,0.0
item_40,0.0,1.0,0.0
item_41,13.0,0.0,0.0
freq_PROCEDURE,18.12366737739872,60.07462686567165,21.80170575692964
