, CARDIAC CATHETERIZATION,SINGLE FETUS CESAREAN,NORMAL BIRTH,VIDEO CHOLECYSTECTOMY
item_0,1.0,0.0,0.0,0.0
item_1,2.0,3.0,3.0,3.0
item_2,0.0,3.0,3.0,3.0
item_3,0.0,1.0,0.0,0.0
item_4,0.0,1.0,1.0,0.0
item_5,0.0,0.0,0.0,2.0
item_6,1.0,7.0,0.0,0.0
item_7,0.0,1.0,2.0,0.0
item_8,0.0,0.0,84.0,0.0
item_9,0.0,2.0,0.0,2.0
item_10,0.0,0.0,0.0,3.0
item_11,2.0,0.0,0.0,0.0
item_12,0.0,1.0,0.0,0.0
item_13,0.0,1.0,0.0,0.0
item_14,0.0,0.0,0.0,1.0
item_15,0.0,2.0,0.0,0.0
item_16,0.0,2.0,0.0,0.0
item_17,0.0,0.0,0.0,1.0
item_18,0.0,1.0,1.0,0.0
item_19,0.0,1.0,0.0,0.0
item_20,2.0,0.0,0.0,0.0
item_21,1.0,0.0,0.0,1.0
item_22,0.0,1.0,0.0,0.0
item_23,0.0,0.0,0.0,2.0
item_24,1.0,0.0,0.0,2.0
item_25,1.0,0.0,0.0,3.0
item_26,1.0,0.0,0.0,2.0
item_27,2.0,0.0,0.0,0.0
item_28,2.0,0.0,0.0,0.0
item_29,0.0,1.0,0.0,1.0
item_30,0.0,2.0,2.0,0.0
item_31,0.0,2.0,2.0,0.0
item_32,0.0,0.0,0.0,3.0
item_33,0.0,2.0,0.0,0.0
item_34,1.0,3.0,0.0,4.0
item_35,0.0,0.0,2.0,0.0
item_36,1.0,1.0,0.0,2.0
item_37,0.0,1.0,0.0,0.0
item_38,0.0,0.0,0.0,2.0
item_39,0.0,0.0,0.0,1.0
freq_PROCEDURE,16.303044833373292,54.03979860944618,19.61160393191081,10.04555262526972
