, CARDIAC CATHETERIZATION,SINGLE FETUS CESAREAN,NORMAL BIRTH,VIDEO CHOLECYSTECTOMY
item_0,1.0,0.0,0.0,0.0
item_1,2.0,3.0,3.0,3.0
item_2,0.0,3.0,3.0,3.0
item_3,0.0,1.0,0.0,0.0
item_4,0.0,1.0,1.0,0.0
item_5,0.0,1.0,0.0,0.0
item_6,0.0,0.0,0.0,2.0
item_7,1.0,0.0,0.0,0.0
item_8,1.0,7.0,0.0,0.0
item_9,140.0,0.0,0.0,0.0
item_10,0.0,1.0,2.0,0.0
item_11,4.0,0.0,0.0,0.0
item_12,0.0,0.0,84.0,0.0
item_13,0.0,1.0,0.0,0.0
item_14,0.0,2.0,0.0,2.0
item_15,0.0,0.0,0.0,1.0
item_16,0.0,0.0,0.0,3.0
item_17,2.0,0.0,0.0,0.0
item_18,0.0,0.0,0.0,10.0
item_19,0.0,1.0,0.0,0.0
item_20,0.0,1.0,0.0,0.0
item_21,0.0,0.0,0.0,1.0
item_22,0.0,2.0,0.0,0.0
item_23,0.0,2.0,0.0,0.0
item_24,0.0,0.0,0.0,1.0
item_25,0.0,1.0,1.0,0.0
item_26,0.0,1.0,0.0,0.0
item_27,2.0,0.0,0.0,0.0
item_28,1.0,0.0,0.0,0.0
item_29,1.0,0.0,0.0,1.0
item_30,0.0,1.0,0.0,0.0
item_31,1.0,0.0,0.0,0.0
item_32,0.0,0.0,0.0,2.0
item_33,1.0,0.0,0.0,2.0
item_34,1.0,0.0,0.0,3.0
item_35,1.0,0.0,0.0,2.0
item_36,2.0,0.0,0.0,0.0
item_37,2.0,0.0,0.0,0.0
item_38,1.0,0.0,0.0,0.0
item_39,0.0,1.0,0.0,0.0
item_40,0.0,0.0,0.0,5.0
item_41,0.0,1.0,0.0,1.0
item_42,0.0,0.0,0.0,2.0
item_43,0.0,2.0,2.0,0.0
item_44,0.0,2.0,2.0,0.0
item_45,0.0,0.0,0.0,3.0
item_46,0.0,2.0,0.0,0.0
item_47,1.0,3.0,0.0,4.0
item_48,0.0,0.0,2.0,0.0
item_49,1.0,1.0,0.0,2.0
item_50,0.0,0.0,0.0,32.0
item_51,0.0,1.0,0.0,0.0
item_52,0.0,0.0,0.0,2.0
item_53,0.0,0.0,0.0,1.0
item_54,0.0,0.0,0.0,1.0
item_55,13.0,0.0,0.0,0.0
freq_PROCEDURE,16.303044833373292,54.03979860944618,19.61160393191081,10.04555262526972
