, CARDIAC CATHETERIZATION,CARDIAC CATHETERIZATION AND LEFT OR RIGHT HEART CATHETERIZATION WITH CINEANGIOCORONARYGRAPHY AND VENTRICULOGRAPHY,SINGLE FETUS CESAREAN,CURETTAGE AFTER ABORTION,FEMUR FRACTURE - SURGICAL TREATMENT,NORMAL BIRTH,VIDEO CHOLECYSTECTOMY
item_0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
item_1,2.0,2.0,3.0,2.0,3.0,3.0,3.0
item_2,0.0,2.0,3.0,3.0,3.0,3.0,3.0
item_3,0.0,0.0,1.0,0.0,1.0,0.0,0.0
item_4,0.0,0.0,1.0,0.0,0.0,1.0,0.0
item_5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
item_6,0.0,0.0,0.0,0.0,7.0,0.0,0.0
item_7,0.0,0.0,0.0,0.0,0.0,0.0,2.0
item_8,1.0,1.0,0.0,0.0,0.0,0.0,0.0
item_9,1.0,1.0,7.0,3.0,0.0,0.0,0.0
item_10,0.0,3.0,0.0,0.0,0.0,0.0,0.0
item_11,140.0,174.0,0.0,0.0,0.0,0.0,0.0
item_12,0.0,0.0,1.0,0.0,0.0,2.0,0.0
item_13,4.0,4.0,0.0,0.0,0.0,0.0,0.0
item_14,0.0,0.0,0.0,0.0,0.0,84.0,0.0
item_15,0.0,0.0,1.0,0.0,1.0,0.0,0.0
item_16,0.0,0.0,0.0,0.0,7.0,0.0,0.0
item_17,0.0,1.0,0.0,0.0,0.0,0.0,0.0
item_18,0.0,0.0,2.0,0.0,0.0,0.0,2.0
item_19,0.0,0.0,0.0,0.0,0.0,0.0,1.0
item_20,0.0,0.0,0.0,0.0,0.0,0.0,3.0
item_21,2.0,0.0,0.0,0.0,0.0,0.0,0.0
item_22,0.0,0.0,0.0,0.0,6.0,0.0,10.0
item_23,0.0,0.0,0.0,1.0,0.0,0.0,0.0
item_24,0.0,0.0,1.0,0.0,0.0,0.0,0.0
item_25,0.0,0.0,1.0,0.0,0.0,0.0,0.0
item_26,0.0,0.0,0.0,0.0,0.0,0.0,1.0
item_27,0.0,0.0,0.0,0.0,2.0,0.0,0.0
item_28,0.0,0.0,0.0,0.0,2.0,0.0,0.0
item_29,0.0,0.0,0.0,0.0,1.0,0.0,0.0
item_30,0.0,0.0,2.0,0.0,0.0,0.0,0.0
item_31,0.0,0.0,2.0,0.0,0.0,0.0,0.0
item_32,0.0,0.0,0.0,0.0,2.0,0.0,0.0
item_33,0.0,0.0,0.0,0.0,0.0,0.0,1.0
item_34,0.0,0.0,0.0,0.0,2.0,0.0,0.0
item_35,0.0,0.0,0.0,0.0,1.0,0.0,0.0
item_36,0.0,0.0,1.0,0.0,0.0,1.0,0.0
item_37,0.0,0.0,1.0,0.0,0.0,0.0,0.0
item_38,2.0,0.0,0.0,0.0,0.0,0.0,0.0
item_39,1.0,0.0,0.0,0.0,0.0,0.0,0.0
item_40,1.0,1.0,0.0,0.0,0.0,0.0,1.0
item_41,0.0,0.0,0.0,0.0,2.0,0.0,0.0
item_42,0.0,0.0,1.0,0.0,0.0,0.0,0.0
item_43,1.0,1.0,0.0,0.0,0.0,0.0,0.0
item_44,0.0,0.0,0.0,0.0,0.0,0.0,2.0
item_45,1.0,1.0,0.0,0.0,0.0,0.0,2.0
item_46,1.0,1.0,0.0,0.0,5.0,0.0,3.0
item_47,1.0,1.0,0.0,0.0,5.0,0.0,2.0
item_48,0.0,0.0,0.0,0.0,3.0,0.0,0.0
item_49,2.0,2.0,0.0,0.0,0.0,0.0,0.0
item_50,2.0,2.0,0.0,0.0,0.0,0.0,0.0
item_51,1.0,1.0,0.0,0.0,0.0,0.0,0.0
item_52,0.0,0.0,1.0,0.0,0.0,0.0,0.0
item_53,0.0,0.0,0.0,0.0,0.0,0.0,5.0
item_54,0.0,0.0,0.0,0.0,1.0,0.0,0.0
item_55,0.0,0.0,0.0,0.0,1.0,0.0,0.0
item_56,0.0,0.0,1.0,1.0,1.0,0.0,1.0
item_57,0.0,0.0,0.0,0.0,0.0,0.0,2.0
item_58,0.0,0.0,2.0,0.0,0.0,2.0,0.0
item_59,0.0,0.0,2.0,0.0,0.0,2.0,0.0
item_60,0.0,0.0,0.0,4.0,5.0,0.0,0.0
item_61,0.0,3.0,0.0,0.0,3.0,0.0,3.0
item_62,0.0,0.0,2.0,0.0,0.0,0.0,0.0
item_63,1.0,1.0,3.0,0.0,3.0,0.0,4.0
item_64,0.0,0.0,0.0,0.0,0.0,2.0,0.0
item_65,1.0,1.0,1.0,0.0,3.0,0.0,2.0
item_66,0.0,0.0,0.0,0.0,0.0,0.0,32.0
item_67,0.0,0.0,1.0,0.0,0.0,0.0,0.0
item_68,0.0,0.0,0.0,0.0,0.0,0.0,2.0
item_69,0.0,0.0,0.0,0.0,0.0,0.0,1.0
item_70,0.0,0.0,0.0,0.0,0.0,0.0,1.0
item_71,13.0,16.0,0.0,0.0,0.0,0.0,0.0
freq_PROCEDURE,680.0,384.0,2254.0,320.0,247.0,818.0,419.0
