,CORONARY ANGIOPLASTY WITH INTRALUMINAL STENT IMPLANTATION, PERIDURAL OR SUBARACHNOID NEUROLITIC BLOCKADE, CARDIAC CATHETERIZATION,CARDIAC CATHETERIZATION AND LEFT OR RIGHT HEART CATHETERIZATION WITH CINEANGIOCORONARYGRAPHY AND VENTRICULOGRAPHY,SINGLE FETUS CESAREAN,CESAREAN SECTION - MULTIPLE FETUS,CURETTAGE AFTER ABORTION,FEMUR FRACTURE - SURGICAL TREATMENT,NORMAL BIRTH,VIDEO CHOLECYSTECTOMY
item_0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
item_1,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0
item_2,2.0,2.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
item_3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
item_4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
item_5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
item_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
item_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
item_8,2.0,0.0,1.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0
item_9,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
item_10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
item_11,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,84.0,0.0
item_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
item_13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
item_14,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
item_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
item_16,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
item_17,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
item_18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
item_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
item_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
item_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
item_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
item_23,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
item_24,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
item_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
item_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
item_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
item_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
item_29,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
item_30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
